"REF_DATE","GEO","DGUID","Educational attainment level","Labour force and education status","Age group","Sex","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022","Canada","2021A000011124","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923858","2.1.1.1.1.1","100","","","","0"
"2004","Canada","2021A000011124","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923894","2.1.2.1.1.1","43","","","","0"
"2005","Canada","2021A000011124","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923894","2.1.2.1.1.1","44","","","","0"
"2006","Canada","2021A000011124","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923894","2.1.2.1.1.1","44","","","","0"
"2007","Canada","2021A000011124","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923894","2.1.2.1.1.1","43","","","","0"
"2008","Canada","2021A000011124","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923894","2.1.2.1.1.1","44","","","","0"
"2009","Canada","2021A000011124","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923894","2.1.2.1.1.1","43","","","","0"
"2010","Canada","2021A000011124","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923894","2.1.2.1.1.1","44","","","","0"
"2011","Canada","2021A000011124","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923894","2.1.2.1.1.1","44","","","","0"
"2012","Canada","2021A000011124","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923894","2.1.2.1.1.1","45","","","","0"
"2013","Canada","2021A000011124","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923894","2.1.2.1.1.1","45","","","","0"
"2014","Canada","2021A000011124","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923894","2.1.2.1.1.1","44","","","","0"
"2015","Canada","2021A000011124","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923894","2.1.2.1.1.1","44","","","","0"
"2016","Canada","2021A000011124","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923894","2.1.2.1.1.1","44","","","","0"
"2017","Canada","2021A000011124","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923894","2.1.2.1.1.1","44","","","","0"
"2018","Canada","2021A000011124","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923894","2.1.2.1.1.1","43","","","","0"
"2019","Canada","2021A000011124","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923894","2.1.2.1.1.1","44","","","","0"
"2020","Canada","2021A000011124","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923894","2.1.2.1.1.1","42","","","","0"
"2021","Canada","2021A000011124","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923894","2.1.2.1.1.1","44","","","","0"
"2022","Canada","2021A000011124","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923894","2.1.2.1.1.1","44","","","","0"
"2004","Canada","2021A000011124","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923930","2.1.3.1.1.1","18","","","","0"
"2005","Canada","2021A000011124","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923930","2.1.3.1.1.1","18","","","","0"
"2006","Canada","2021A000011124","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923930","2.1.3.1.1.1","19","","","","0"
"2007","Canada","2021A000011124","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923930","2.1.3.1.1.1","19","","","","0"
"2008","Canada","2021A000011124","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923930","2.1.3.1.1.1","20","","","","0"
"2009","Canada","2021A000011124","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923930","2.1.3.1.1.1","18","","","","0"
"2010","Canada","2021A000011124","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923930","2.1.3.1.1.1","18","","","","0"
"2011","Canada","2021A000011124","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923930","2.1.3.1.1.1","18","","","","0"
"2012","Canada","2021A000011124","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923930","2.1.3.1.1.1","18","","","","0"
"2013","Canada","2021A000011124","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923930","2.1.3.1.1.1","19","","","","0"
"2014","Canada","2021A000011124","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923930","2.1.3.1.1.1","18","","","","0"
"2015","Canada","2021A000011124","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923930","2.1.3.1.1.1","19","","","","0"
"2016","Canada","2021A000011124","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923930","2.1.3.1.1.1","18","","","","0"
"2017","Canada","2021A000011124","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923930","2.1.3.1.1.1","19","","","","0"
"2018","Canada","2021A000011124","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923930","2.1.3.1.1.1","19","","","","0"
"2019","Canada","2021A000011124","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923930","2.1.3.1.1.1","19","","","","0"
"2020","Canada","2021A000011124","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923930","2.1.3.1.1.1","17","","","","0"
"2021","Canada","2021A000011124","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923930","2.1.3.1.1.1","16","","","","0"
"2022","Canada","2021A000011124","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923930","2.1.3.1.1.1","20","","","","0"
"2004","Canada","2021A000011124","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923966","2.1.4.1.1.1","57","","","","0"
"2005","Canada","2021A000011124","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923966","2.1.4.1.1.1","56","","","","0"
"2006","Canada","2021A000011124","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923966","2.1.4.1.1.1","56","","","","0"
"2007","Canada","2021A000011124","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923966","2.1.4.1.1.1","57","","","","0"
"2008","Canada","2021A000011124","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923966","2.1.4.1.1.1","56","","","","0"
"2009","Canada","2021A000011124","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923966","2.1.4.1.1.1","57","","","","0"
"2010","Canada","2021A000011124","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923966","2.1.4.1.1.1","56","","","","0"
